ucak ID        oncelikID      talep saati    bekleme     inis saati     kalkis   
     4             4            1             0             1            2
     6             2            2             0             2            3
     1             3            3             0             3            4
     3             2            4             0             4            5
    10             1            5             0             5            6
    11             1            5             0             6            7
     7             2            6             1             7            8
     5             2            6             0             8            9
     8             3            9             0             9           10
     2             4           10             3            10           11
